VTX, IDX, gl_PerVertex.gl_Position.x, gl_PerVertex.gl_Position.y, gl_PerVertex.gl_Position.z, gl_PerVertex.gl_Position.w, fragColor.x, fragColor.y, fragColor.z, fragColor.w, fragUv.x, fragUv.y
0, 56,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
1, 58,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
2, 60,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
3, 56,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
4, 60,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
5, 61,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  0.00,  0.00098,  0.00391
6, 61,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  0.00,  0.00098,  0.00391
7, 57,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  0.00,  0.00098,  0.00391
8, 56,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
9, 58,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
10, 56,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
11, 57,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  0.00,  0.00098,  0.00391
12, 57,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  0.00,  0.00098,  0.00391
13, 59,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  0.00,  0.00098,  0.00391
14, 58,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
15, 60,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
16, 58,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
17, 59,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  0.00,  0.00098,  0.00391
18, 59,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  0.00,  0.00098,  0.00391
19, 61,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  0.00,  0.00098,  0.00391
20, 60,  0.00,  0.00,  0.00,  1.00,  175.00,  175.00,  175.00,  255.00,  0.00098,  0.00391
